model,state,CI,weather,calendar,level,precision,recall,f1,roc_auc,pr_auc
Transformer (CM_W_C),Tamil Nadu,False,True,True,t+5,0.2857142857142857,0.5,0.36363636363636365,0.7231012658227847,0.2504491840319305
Transformer (CM_W_C),Tamil Nadu,False,True,True,t+6,0.0,0.0,0.0,0.6882911392405063,0.1761519167196602
Transformer (CI_W_NC),Tamil Nadu,True,True,False,window,0.14583333333333334,0.3684210526315789,0.208955223880597,0.34171826625387003,0.17587112286400886
Transformer (CI_W_NC),Tamil Nadu,True,True,False,t+4,0.0,0.0,0.0,0.3251582278481013,0.07577287614529635
Transformer (CI_W_NC),Tamil Nadu,True,True,False,t+5,0.0,0.0,0.0,0.30933544303797467,0.07408676575563757
Transformer (CI_W_NC),Tamil Nadu,True,True,False,t+6,0.0,0.0,0.0,0.3235759493670886,0.07183808952547947
Transformer (CI_NW_C),Tamil Nadu,True,False,True,window,0.2,0.5789473684210527,0.2972972972972973,0.4264705882352941,0.2563105820381244
Transformer (CI_NW_C),Tamil Nadu,True,False,True,t+4,0.043478260869565216,0.125,0.06451612903225806,0.4462025316455696,0.08900747304515218
Transformer (CI_NW_C),Tamil Nadu,True,False,True,t+5,0.0,0.0,0.0,0.5158227848101266,0.12299207806470866
Transformer (CI_NW_C),Tamil Nadu,True,False,True,t+6,0.125,0.125,0.125,0.4272151898734178,0.21315482401613534
Transformer (CI_NW_NC),Tamil Nadu,True,False,False,window,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.45394736842105265,0.2077056825450817
Transformer (CI_NW_NC),Tamil Nadu,True,False,False,t+4,0.0,0.0,0.0,0.6653481012658228,0.16123642439431912
Transformer (CI_NW_NC),Tamil Nadu,True,False,False,t+5,0.0,0.0,0.0,0.5181962025316456,0.11461270881838405
Transformer (CI_NW_NC),Tamil Nadu,True,False,False,t+6,0.0,0.0,0.0,0.4849683544303797,0.09108476506162365
persistence,Maharashtra,-,-,-,window,0.5428571428571428,0.7169811320754716,0.6178861788617886,0.3879023307436182,0.5616321219444186
persistence,Maharashtra,-,-,-,t+4,0.3191489361702128,0.38461538461538464,0.3488372093023256,0.358974358974359,0.39861165980021446
persistence,Maharashtra,-,-,-,t+5,0.30434782608695654,0.3684210526315789,0.3333333333333333,0.35767991407089156,0.38799021541860645
persistence,Maharashtra,-,-,-,t+6,0.30434782608695654,0.3684210526315789,0.3333333333333333,0.35767991407089156,0.38799021541860645
lstm,Maharashtra,-,-,-,window,0.6046511627906976,0.9811320754716981,0.7482014388489209,0.5987791342952274,0.7650305395336903
lstm,Maharashtra,-,-,-,t+4,0.4482758620689655,1.0,0.6190476190476191,0.5454059829059829,0.4945454085814003
lstm,Maharashtra,-,-,-,t+5,0.0,0.0,0.0,0.2755102040816327,0.331107503816373
lstm,Maharashtra,-,-,-,t+6,0.4367816091954023,1.0,0.608,0.6385606874328679,0.6853448657750872
persistence,Karnataka,-,-,-,window,0.08571428571428572,0.16666666666666666,0.11320754716981132,0.35144927536231885,0.18669950738916258
persistence,Karnataka,-,-,-,t+4,0.06666666666666667,0.125,0.08695652173913043,0.4738924050632911,0.08879310344827586
persistence,Karnataka,-,-,-,t+5,0.06666666666666667,0.125,0.08695652173913043,0.4738924050632911,0.08879310344827586
persistence,Karnataka,-,-,-,t+6,0.06666666666666667,0.125,0.08695652173913043,0.4738924050632911,0.08879310344827586
lstm,Karnataka,-,-,-,window,0.0,0.0,0.0,0.5925925925925926,0.3158112077891143
lstm,Karnataka,-,-,-,t+4,0.09195402298850575,1.0,0.16842105263157894,0.3623417721518988,0.07658655413551485
lstm,Karnataka,-,-,-,t+5,0.0,0.0,0.0,0.3037974683544304,0.07120006036346455
lstm,Karnataka,-,-,-,t+6,0.09195402298850575,1.0,0.16842105263157894,0.25316455696202533,0.06640169486003207
persistence,Tamil Nadu,-,-,-,window,0.15384615384615385,0.21052631578947367,0.17777777777777778,0.4434984520123839,0.20480245707105962
persistence,Tamil Nadu,-,-,-,t+4,0.09090909090909091,0.125,0.10526315789473684,0.49920886075949367,0.0918234064785789
persistence,Tamil Nadu,-,-,-,t+5,0.09090909090909091,0.125,0.10526315789473684,0.49920886075949367,0.0918234064785789
persistence,Tamil Nadu,-,-,-,t+6,0.09090909090909091,0.125,0.10526315789473684,0.49920886075949367,0.0918234064785789
lstm,Tamil Nadu,-,-,-,window,0.24050632911392406,1.0,0.3877551020408163,0.42260061919504643,0.18515070583780585
lstm,Tamil Nadu,-,-,-,t+4,0.09195402298850575,1.0,0.16842105263157894,0.2863924050632911,0.06860219700120396
lstm,Tamil Nadu,-,-,-,t+5,0.0,0.0,0.0,0.4825949367088608,0.09369236536531794
lstm,Tamil Nadu,-,-,-,t+6,0.09195402298850575,1.0,0.16842105263157894,0.46835443037974683,0.09096835883476198
